iter	Passed	Remaining
0	1	105
1	2	106
2	3	111
3	4	107
4	5	104
5	6	102
6	7	102
7	9	103
8	10	102
9	11	99
10	12	98
11	13	97
12	14	96
13	15	95
14	16	93
15	17	92
16	18	92
17	20	91
18	21	90
19	22	88
20	23	86
21	24	86
22	25	85
23	26	84
24	27	82
25	28	81
26	29	80
27	30	78
28	31	77
29	32	76
30	34	75
31	35	74
32	36	73
33	37	72
34	38	71
35	39	70
36	41	69
37	42	68
38	43	67
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	48	59
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	56	53
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	91	19
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
